keyword,url
packers,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/packers.zip
Packingtown,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/Packingtown.zip
packing house,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/packing_house.zip
election,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/election.zip
Beef Trust,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/Beef_Trust.zip
hog,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/hog.zip
inspection,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/inspection.zip
capitalism,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/capitalism.zip
party,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/party.zip
Chicago,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/Chicago.zip
unions,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/unions.zip
Socialist,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/Socialist.zip
death,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/death.zip
stockyard,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/stockyard.zip
mayor,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/mayor.zip
child,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/child.zip
Roosevelt,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/Roosevelt.zip
President,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/President.zip
senator,https://jl.pennds.org/?input=https://jl.pennds.org/corpora/senator.zip
